algo_id,trades,win_rate,profit_factor,expectancy_pct,total_return_pct,min_pos_frac,avg_pos_frac,sample_band,status_label,pos10,pos25,pos50
"bags_fresh_snipe",28,35.7,1.411,2.949,82.58,1,1,"MEDIUM","EXPERIMENTAL",1,1,
"bags_momentum",23,34.8,1.359,2.604,59.88,1,1,"THIN","EXPERIMENTAL",1,,
"bluechip_trend_follow",42,42.9,3.364,8.105,340.43,1,1,"MEDIUM","EXPERIMENTAL",1,1,
"bluechip_breakout",42,42.9,3.364,8.105,340.43,1,1,"MEDIUM","EXPERIMENTAL",1,1,
"xstock_intraday",40,25,3.262,15.37,614.82,1,1,"MEDIUM","EXPERIMENTAL",1,1,
"index_intraday",10,40,1.09,0.222,2.22,1,1,"THIN","EXPERIMENTAL",1,,
"index_leveraged",10,40,1.09,0.222,2.22,1,1,"THIN","EXPERIMENTAL",1,,
"elite",89,50.6,1.634,3.551,316.02,0.938,0.979,"ROBUST","EXPERIMENTAL",0.938,1,1
"bags_dip_buyer",65,47.7,1.751,3.455,224.55,0.929,0.976,"ROBUST","EXPERIMENTAL",0.929,1,1
"sol_veteran",71,60.6,2.269,4.521,320.96,0.903,0.968,"ROBUST","EXPERIMENTAL",0.903,1,1
"utility_swing",71,60.6,2.269,4.521,320.96,0.903,0.968,"ROBUST","EXPERIMENTAL",0.903,1,1
"micro_cap_surge",94,57.4,2.009,4.867,457.48,0.871,0.947,"ROBUST","EXPERIMENTAL",0.871,0.971,1
"prestock_speculative",23,69.6,2.644,3.927,90.32,0.857,0.857,"THIN","EXPERIMENTAL",0.857,,
"meme_classic",73,56.2,1.803,3.291,240.21,0.828,0.943,"ROBUST","EXPERIMENTAL",0.828,1,1
"bags_aggressive",58,34.5,1.306,1.667,96.7,0.816,0.929,"ROBUST","EXPERIMENTAL",0.816,0.971,1
"pump_fresh_tight",98,45.9,1.389,2.34,229.32,0.809,0.932,"ROBUST","EXPERIMENTAL",0.809,0.986,1
"established_breakout",18,55.6,1.801,3.327,59.89,0.778,0.778,"THIN","EXPERIMENTAL",0.778,,
"bags_value",40,52.5,1.425,1.287,51.49,0.774,0.887,"MEDIUM","EXPERIMENTAL",0.774,1,
"bags_conservative",40,52.5,1.425,1.287,51.49,0.774,0.887,"MEDIUM","EXPERIMENTAL",0.774,1,
"bags_elite",40,52.5,1.261,0.791,31.65,0.774,0.887,"MEDIUM","EXPERIMENTAL",0.774,1,
"bags_bluechip",51,51,1.198,0.594,30.28,0.738,0.913,"ROBUST","EXPERIMENTAL",0.738,1,1
"momentum",68,45.6,1.694,4.117,279.95,0.729,0.857,"ROBUST","EXPERIMENTAL",0.729,0.841,1
"hybrid_b",68,45.6,1.694,4.117,279.95,0.729,0.857,"ROBUST","EXPERIMENTAL",0.729,0.841,1
"let_it_ride",56,44.6,1.559,3.509,196.49,0.723,0.835,"ROBUST","EXPERIMENTAL",0.723,0.781,1
"volume_spike",80,53.8,1.674,2.915,233.24,0.69,0.813,"ROBUST","EXPERIMENTAL",0.69,0.75,1
"xstock_swing",47,10.6,0.155,-2.485,-116.78,0,0,"MEDIUM","EXPERIMENTAL_DISABLED",0,0,